t,x,y,psi,u,v,r
2.070000,0.000000000e+00,8.971393363e-02,0.000000000e+00,0.000000000e+00,6.553606637e-02,0.000000000e+00
2.080000,0.000000000e+00,9.036976592e-02,0.000000000e+00,0.000000000e+00,6.563023408e-02,0.000000000e+00
2.090000,0.000000000e+00,9.102653519e-02,0.000000000e+00,0.000000000e+00,6.572346481e-02,0.000000000e+00
2.100000,0.000000000e+00,9.168423212e-02,0.000000000e+00,0.000000000e+00,6.581576788e-02,0.000000000e+00
2.110000,0.000000000e+00,9.234284748e-02,0.000000000e+00,0.000000000e+00,6.590715252e-02,0.000000000e+00
2.120000,0.000000000e+00,9.300237214e-02,0.000000000e+00,0.000000000e+00,6.599762786e-02,0.000000000e+00
2.130000,0.000000000e+00,9.366279704e-02,0.000000000e+00,0.000000000e+00,6.608720296e-02,0.000000000e+00
2.140000,0.000000000e+00,9.432411323e-02,0.000000000e+00,0.000000000e+00,6.617588677e-02,0.000000000e+00
2.150000,0.000000000e+00,9.498631183e-02,0.000000000e+00,0.000000000e+00,6.626368817e-02,0.000000000e+00
2.160000,0.000000000e+00,9.564938408e-02,0.000000000e+00,0.000000000e+00,6.635061592e-02,0.000000000e+00
2.170000,0.000000000e+00,9.631332127e-02,0.000000000e+00,0.000000000e+00,6.643667873e-02,0.000000000e+00
2.180000,0.000000000e+00,9.697811480e-02,0.000000000e+00,0.000000000e+00,6.652188520e-02,0.000000000e+00
2.190000,0.000000000e+00,9.764375615e-02,0.000000000e+00,0.000000000e+00,6.660624385e-02,0.000000000e+00
2.200000,0.000000000e+00,9.831023688e-02,0.000000000e+00,0.000000000e+00,6.668976312e-02,0.000000000e+00
2.210000,0.000000000e+00,9.897754864e-02,0.000000000e+00,0.000000000e+00,6.677245136e-02,0.000000000e+00
2.220000,0.000000000e+00,9.964568316e-02,0.000000000e+00,0.000000000e+00,6.685431684e-02,0.000000000e+00
2.230000,0.000000000e+00,1.003146323e-01,0.000000000e+00,0.000000000e+00,6.693536774e-02,0.000000000e+00
2.240000,0.000000000e+00,1.009843878e-01,0.000000000e+00,0.000000000e+00,6.701561217e-02,0.000000000e+00
2.250000,0.000000000e+00,1.016549418e-01,0.000000000e+00,0.000000000e+00,6.709505816e-02,0.000000000e+00
2.260000,0.000000000e+00,1.023262864e-01,0.000000000e+00,0.000000000e+00,6.717371364e-02,0.000000000e+00
2.270000,0.000000000e+00,1.029984135e-01,0.000000000e+00,0.000000000e+00,6.725158649e-02,0.000000000e+00
2.280000,0.000000000e+00,1.036713155e-01,0.000000000e+00,0.000000000e+00,6.732868449e-02,0.000000000e+00
2.290000,0.000000000e+00,1.043449846e-01,0.000000000e+00,0.000000000e+00,6.740501536e-02,0.000000000e+00
2.300000,0.000000000e+00,1.050194133e-01,0.000000000e+00,0.000000000e+00,6.748058672e-02,0.000000000e+00
2.310000,0.000000000e+00,1.056945939e-01,0.000000000e+00,0.000000000e+00,6.755540613e-02,0.000000000e+00
2.320000,0.000000000e+00,1.063705189e-01,0.000000000e+00,0.000000000e+00,6.762948108e-02,0.000000000e+00
2.330000,0.000000000e+00,1.070471810e-01,0.000000000e+00,0.000000000e+00,6.770281897e-02,0.000000000e+00
2.340000,0.000000000e+00,1.077245729e-01,0.000000000e+00,0.000000000e+00,6.777542713e-02,0.000000000e+00
