t,x,y,psi,u,v,r
2.150000,1.834962300e+00,0.000000000e+00,0.000000000e+00,1.314665233e+00,0.000000000e+00,0.000000000e+00
2.160000,1.848119173e+00,0.000000000e+00,0.000000000e+00,1.316706439e+00,0.000000000e+00,0.000000000e+00
2.170000,1.861296369e+00,0.000000000e+00,0.000000000e+00,1.318729735e+00,0.000000000e+00,0.000000000e+00
2.180000,1.874493709e+00,0.000000000e+00,0.000000000e+00,1.320735278e+00,0.000000000e+00,0.000000000e+00
2.190000,1.887711016e+00,0.000000000e+00,0.000000000e+00,1.322723224e+00,0.000000000e+00,0.000000000e+00
2.200000,1.900948115e+00,0.000000000e+00,0.000000000e+00,1.324693728e+00,0.000000000e+00,0.000000000e+00
2.210000,1.914204833e+00,0.000000000e+00,0.000000000e+00,1.326646941e+00,0.000000000e+00,0.000000000e+00
2.220000,1.927480997e+00,0.000000000e+00,0.000000000e+00,1.328583016e+00,0.000000000e+00,0.000000000e+00
2.230000,1.940776436e+00,0.000000000e+00,0.000000000e+00,1.330502104e+00,0.000000000e+00,0.000000000e+00
2.240000,1.954090983e+00,0.000000000e+00,0.000000000e+00,1.332404353e+00,0.000000000e+00,0.000000000e+00
2.250000,1.967424468e+00,0.000000000e+00,0.000000000e+00,1.334289912e+00,0.000000000e+00,0.000000000e+00
2.260000,1.980776726e+00,0.000000000e+00,0.000000000e+00,1.336158925e+00,0.000000000e+00,0.000000000e+00
2.270000,1.994147592e+00,0.000000000e+00,0.000000000e+00,1.338011540e+00,0.000000000e+00,0.000000000e+00
2.280000,2.007536902e+00,0.000000000e+00,0.000000000e+00,1.339847899e+00,0.000000000e+00,0.000000000e+00
2.290000,2.020944496e+00,0.000000000e+00,0.000000000e+00,1.341668146e+00,0.000000000e+00,0.000000000e+00
2.300000,2.034370212e+00,0.000000000e+00,0.000000000e+00,1.343472421e+00,0.000000000e+00,0.000000000e+00
2.310000,2.047813891e+00,0.000000000e+00,0.000000000e+00,1.345260865e+00,0.000000000e+00,0.000000000e+00
2.320000,2.061275377e+00,0.000000000e+00,0.000000000e+00,1.347033616e+00,0.000000000e+00,0.000000000e+00
2.330000,2.074754512e+00,0.000000000e+00,0.000000000e+00,1.348790813e+00,0.000000000e+00,0.000000000e+00
2.340000,2.088251142e+00,0.000000000e+00,0.000000000e+00,1.350532592e+00,0.000000000e+00,0.000000000e+00
2.350000,2.101765113e+00,0.000000000e+00,0.000000000e+00,1.352259088e+00,0.000000000e+00,0.000000000e+00
